;; @T(#) @T(#)
;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;
;; ENG Telemetry Template File  -  FITS information  -  Part 6 of 8
;;
;; This information is based on attributes associated with the structure of 
;; a FITS data file.
;;
;;
;; MSID		Field Name
;;				Group id (one of the ids specified in Group table)
;;				|
;;				|	Representation (kf - keyword field,
;;				|	|		ka - keyword array,
;;				|	|		tf - table data field,
;;				|	|		ta - table data array,
;;				|	|		ia - image array)
;;				|	|	 
;;			     	|	|	Units (as described in HEASARC FITS style guide)
;;				|	|	|
;;				|	|	|		Short name (max 8 characters)
;;				|	|	|		|
;;				|	|	|		|		TLMIN
;;				|	|	|		|		|
;;				|	|	|		|		|		TLMAX
;;				|	|	|		|		|		|
;;				|	|	|		|		|		|		Descriptive short comment
;;				|	|	|		|		|		|		(max 50 characters)
;;				|	|	|		|		|		|		|
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;
;;
;;
;; GENERATE_EDE_TEMPLATES version 2.35 (June 3, 1999)
;; PREPROCESS_1949_DATABASE version 2.3 (June 3, 1999)
;;
1CBAT		1CBAT		102	tf	K		1CBAT		0		255		"CAMERA BODY TEMP. A"
1CBBT		1CBBT		102	tf	K		1CBBT		0		255		"CAMERA BODY TEMP. B"
1CRAT		1CRAT		102	tf	K		1CRAT		0		255		"COLD RADIATOR TEMP. A"
1CRBT		1CRBT		102	tf	K		1CRBT		0		255		"COLD RADIATOR TEMP. B"
1DABOAEN	1DABOAEN	102	tf	n/a		1DABOAEN					"DA BAKE OUT ENABLE A"
1DABOAON	1DABOAON	102	tf	n/a		1DABOAON					"DA BAKE OUT ON/OFF A"
1DABOBEN	1DABOBEN	102	tf	n/a		1DABOBEN					"DA BAKE OUT ENABLE B"
1DABOBON	1DABOBON	102	tf	n/a		1DABOBON					"DA BAKE OUT ON/OFF B"
1DACTBT		1DACTBT		102	tf	K		1DACTBT		0		255		"DA COLLIMATOR-TOP TEMP. B"
1DAHACU		1DAHACU		102	tf	A		1DAHACU		0		255		"DETECTOR ASSY. HTR CURRENT A"
1DAHAT		1DAHAT		102	tf	K		1DAHAT		0		255		"DA HOUSING TEMP A OFFSET"
1DAHAVO		1DAHAVO		102	tf	V		1DAHAVO		0		255		"DETECTOR ASSY. HTR VOLTAGE A"
1DAHBCU		1DAHBCU		102	tf	A		1DAHBCU		0		255		"DETECTOR ASSY. HTR CURRENT B"
1DAHBT		1DAHBT		102	tf	K		1DAHBT		0		255		"DA HOUSING TEMP B OFFSET"
1DAHBVO		1DAHBVO		102	tf	V		1DAHBVO		0		255		"DETECTOR ASSY. HTR VOLTAGE B"
1DAHHAVO	1DAHHAVO	102	tf	V		1DAHHAVO	0		255		"DA HOUSING HTR +28V INPUT A"
1DAHHBVO	1DAHHBVO	102	tf	V		1DAHHBVO	0		255		"DA HOUSING HTR +28V INPUT B"
1DAHTAEN	1DAHTAEN	102	tf	n/a		1DAHTAEN					"DA HTR ENABLE/DISABLE A"
1DAHTAON	1DAHTAON	102	tf	n/a		1DAHTAON					"DA HTR ON/OFF A"
1DAHTBEN	1DAHTBEN	102	tf	n/a		1DAHTBEN					"DA HTR ENABLE/DISABLE B"
1DAHTBON	1DAHTBON	102	tf	n/a		1DAHTBON					"DA HTR ON/OFF B"
